ROCK;IJK;XC;YC;ZC;XINC;YINC;ZINC;XMORIG;YMORIG;ZMORIG;NX;NY;NZ;DENSITY;AU;CU
8;192613;7916.25;6666.25;249.7224398;12.5;12.5;4.76490038;7410;6010;77.10489;95;95;50;1.75;1.52;0.16
8;192614;7916.25;6666.25;258.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;1.18;0.14
6;192615;7916.25;6666.25;272.7122069;12.5;12.5;8.78536628;7410;6010;77.10489;95;95;50;2.01;0.13;0.06
8;192615;7916.25;6666.25;266.4075609;12.5;12.5;3.60534178;7410;6010;77.10489;95;95;50;1.75;0.13;0.06
6;192616;7916.25;6666.25;277.9396928;12.5;12.5;1.66960561;7410;6010;77.10489;95;95;50;2.01;2.31;0.047
8;192663;7916.25;6678.75;249.6487165;12.5;12.5;4.91234701;7410;6010;77.10489;95;95;50;1.75;1.18;0.16
8;192664;7916.25;6678.75;258.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;1.18;0.14
8;192665;7916.25;6678.75;265.6378037;12.5;12.5;2.06582731;7410;6010;77.10489;95;95;50;1.75;0.13;0.06
8;192714;7916.25;6691.25;260.6325116;12.5;12.5;7.94475686;7410;6010;77.10489;95;95;50;1.75;1.18;0.08
8;192715;7916.25;6691.25;265.24531;12.5;12.5;1.28084007;7410;6010;77.10489;95;95;50;1.75;0.13;0.53
8;196772;7928.75;6516.25;357.0943463;12.5;12.5;8.43682404;7410;6010;77.10489;95;95;50;1.75;0;0
8;196821;7928.75;6528.75;347.7273347;12.5;12.5;8.75511059;7410;6010;77.10489;95;95;50;1.75;0.86;0.0275
8;196822;7928.75;6528.75;354.1122895;12.5;12.5;4.01479894;7410;6010;77.10489;95;95;50;1.75;0.86;0.04
8;196870;7928.75;6541.25;335.6098616;12.5;12.5;7.99005682;7410;6010;77.10489;95;95;50;1.75;1.12;0.1
8;196871;7928.75;6541.25;343.1701952;12.5;12.5;7.13061031;7410;6010;77.10489;95;95;50;1.75;1.12;0.23
8;196919;7928.75;6553.75;323.4939661;12.5;12.5;7.22184785;7410;6010;77.10489;95;95;50;1.75;1.28;0.13
6;196920;7928.75;6553.75;337.2418596;12.5;12.5;4.72606079;7410;6010;77.10489;95;95;50;2.01;1.12;0.1
8;196920;7928.75;6553.75;330.9872712;12.5;12.5;7.76476245;7410;6010;77.10489;95;95;50;1.75;1.12;0.1
6;196921;7928.75;6553.75;345.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;2.01;1.75;0.14
